text,intent
mute command number 197,MUTE
get time request number 142,GET_TIME
mute command number 145,MUTE
search query number 90,WEB_SEARCH
open file number 1377,OPEN_FILE
mute command number 728,MUTE
general conversation number 674,GENERAL_CONVERSATION
search query number 201,WEB_SEARCH
get time request number 607,GET_TIME
general conversation number 413,GENERAL_CONVERSATION
get time request number 568,GET_TIME
mute command number 851,MUTE
mute command number 1268,MUTE
get time request number 1203,GET_TIME
general conversation number 942,GENERAL_CONVERSATION
unmute command number 1062,UNMUTE
search query number 434,WEB_SEARCH
open file number 934,OPEN_FILE
open file number 1200,OPEN_FILE
get time request number 1067,GET_TIME
unmute command number 627,UNMUTE
open application number 618,OPEN_APP
open application number 62,OPEN_APP
search query number 375,WEB_SEARCH
open file number 881,OPEN_FILE
open file number 1302,OPEN_FILE
open application number 149,OPEN_APP
search query number 39,WEB_SEARCH
unmute command number 202,UNMUTE
mute command number 1183,MUTE
open file number 102,OPEN_FILE
search query number 131,WEB_SEARCH
mute command number 1301,MUTE
mute command number 1281,MUTE
search query number 1198,WEB_SEARCH
general conversation number 782,GENERAL_CONVERSATION
unmute command number 1204,UNMUTE
open application number 1345,OPEN_APP
mute command number 526,MUTE
general conversation number 883,GENERAL_CONVERSATION
search query number 307,WEB_SEARCH
open file number 115,OPEN_FILE
open file number 268,OPEN_FILE
get time request number 1242,GET_TIME
mute command number 679,MUTE
open file number 33,OPEN_FILE
open application number 1387,OPEN_APP
open file number 1305,OPEN_FILE
unmute command number 437,UNMUTE
mute command number 891,MUTE
mute command number 323,MUTE
mute command number 165,MUTE
general conversation number 111,GENERAL_CONVERSATION
open application number 577,OPEN_APP
get time request number 76,GET_TIME
get time request number 288,GET_TIME
open application number 472,OPEN_APP
search query number 748,WEB_SEARCH
get time request number 808,GET_TIME
open file number 1361,OPEN_FILE
get time request number 350,GET_TIME
unmute command number 1081,UNMUTE
general conversation number 1042,GENERAL_CONVERSATION
open file number 354,OPEN_FILE
get time request number 1238,GET_TIME
get time request number 307,GET_TIME
get time request number 439,GET_TIME
open file number 1418,OPEN_FILE
search query number 1000,WEB_SEARCH
mute command number 804,MUTE
open application number 439,OPEN_APP
open application number 573,OPEN_APP
search query number 147,WEB_SEARCH
search query number 400,WEB_SEARCH
unmute command number 828,UNMUTE
search query number 481,WEB_SEARCH
open file number 166,OPEN_FILE
open file number 691,OPEN_FILE
get time request number 543,GET_TIME
mute command number 824,MUTE
open file number 883,OPEN_FILE
mute command number 1151,MUTE
unmute command number 711,UNMUTE
unmute command number 1138,UNMUTE
unmute command number 549,UNMUTE
unmute command number 1173,UNMUTE
open application number 884,OPEN_APP
get time request number 280,GET_TIME
open file number 941,OPEN_FILE
search query number 988,WEB_SEARCH
general conversation number 507,GENERAL_CONVERSATION
open file number 487,OPEN_FILE
get time request number 606,GET_TIME
search query number 1115,WEB_SEARCH
mute command number 997,MUTE
open file number 63,OPEN_FILE
get time request number 177,GET_TIME
open file number 687,OPEN_FILE
open file number 486,OPEN_FILE
get time request number 751,GET_TIME
unmute command number 1095,UNMUTE
mute command number 1257,MUTE
open file number 728,OPEN_FILE
open application number 85,OPEN_APP
search query number 590,WEB_SEARCH
open application number 523,OPEN_APP
unmute command number 997,UNMUTE
search query number 737,WEB_SEARCH
get time request number 55,GET_TIME
mute command number 1140,MUTE
mute command number 846,MUTE
search query number 477,WEB_SEARCH
unmute command number 386,UNMUTE
mute command number 1129,MUTE
open application number 82,OPEN_APP
open application number 26,OPEN_APP
search query number 109,WEB_SEARCH
mute command number 948,MUTE
unmute command number 24,UNMUTE
open file number 1217,OPEN_FILE
mute command number 597,MUTE
open file number 799,OPEN_FILE
open file number 1074,OPEN_FILE
open application number 588,OPEN_APP
open file number 1045,OPEN_FILE
open application number 454,OPEN_APP
open file number 56,OPEN_FILE
mute command number 1296,MUTE
general conversation number 297,GENERAL_CONVERSATION
search query number 527,WEB_SEARCH
open application number 1260,OPEN_APP
mute command number 1004,MUTE
search query number 294,WEB_SEARCH
search query number 135,WEB_SEARCH
open application number 948,OPEN_APP
unmute command number 1013,UNMUTE
get time request number 1016,GET_TIME
unmute command number 1129,UNMUTE
search query number 211,WEB_SEARCH
unmute command number 752,UNMUTE
get time request number 545,GET_TIME
open file number 971,OPEN_FILE
search query number 41,WEB_SEARCH
get time request number 175,GET_TIME
open file number 1190,OPEN_FILE
search query number 1349,WEB_SEARCH
search query number 129,WEB_SEARCH
open file number 1198,OPEN_FILE
open file number 1098,OPEN_FILE
open application number 389,OPEN_APP
general conversation number 1195,GENERAL_CONVERSATION
unmute command number 852,UNMUTE
mute command number 494,MUTE
unmute command number 875,UNMUTE
open application number 309,OPEN_APP
open file number 695,OPEN_FILE
general conversation number 383,GENERAL_CONVERSATION
unmute command number 1374,UNMUTE
mute command number 755,MUTE
mute command number 278,MUTE
search query number 1045,WEB_SEARCH
open application number 1137,OPEN_APP
unmute command number 654,UNMUTE
general conversation number 513,GENERAL_CONVERSATION
open application number 794,OPEN_APP
mute command number 510,MUTE
open application number 357,OPEN_APP
open file number 124,OPEN_FILE
unmute command number 1014,UNMUTE
unmute command number 622,UNMUTE
open application number 490,OPEN_APP
open application number 935,OPEN_APP
get time request number 384,GET_TIME
open application number 1058,OPEN_APP
get time request number 45,GET_TIME
open application number 1311,OPEN_APP
open file number 326,OPEN_FILE
get time request number 1409,GET_TIME
open application number 910,OPEN_APP
get time request number 1151,GET_TIME
open application number 63,OPEN_APP
mute command number 1272,MUTE
open application number 65,OPEN_APP
unmute command number 245,UNMUTE
get time request number 769,GET_TIME
mute command number 862,MUTE
search query number 81,WEB_SEARCH
unmute command number 868,UNMUTE
open file number 591,OPEN_FILE
get time request number 327,GET_TIME
search query number 166,WEB_SEARCH
open application number 1227,OPEN_APP
unmute command number 14,UNMUTE
unmute command number 641,UNMUTE
mute command number 812,MUTE
general conversation number 1215,GENERAL_CONVERSATION
search query number 1136,WEB_SEARCH
general conversation number 1366,GENERAL_CONVERSATION
mute command number 547,MUTE
general conversation number 1216,GENERAL_CONVERSATION
open application number 795,OPEN_APP
search query number 835,WEB_SEARCH
open file number 1405,OPEN_FILE
general conversation number 1318,GENERAL_CONVERSATION
unmute command number 1018,UNMUTE
mute command number 42,MUTE
open application number 1067,OPEN_APP
get time request number 694,GET_TIME
get time request number 1394,GET_TIME
general conversation number 433,GENERAL_CONVERSATION
mute command number 256,MUTE
general conversation number 1028,GENERAL_CONVERSATION
open file number 37,OPEN_FILE
general conversation number 200,GENERAL_CONVERSATION
get time request number 91,GET_TIME
open file number 679,OPEN_FILE
open file number 15,OPEN_FILE
open application number 610,OPEN_APP
get time request number 283,GET_TIME
unmute command number 890,UNMUTE
get time request number 464,GET_TIME
open application number 69,OPEN_APP
unmute command number 1186,UNMUTE
get time request number 1142,GET_TIME
general conversation number 961,GENERAL_CONVERSATION
open file number 485,OPEN_FILE
get time request number 1086,GET_TIME
mute command number 1249,MUTE
search query number 705,WEB_SEARCH
search query number 1093,WEB_SEARCH
search query number 1425,WEB_SEARCH
mute command number 359,MUTE
open application number 548,OPEN_APP
search query number 76,WEB_SEARCH
search query number 1139,WEB_SEARCH
unmute command number 119,UNMUTE
open file number 54,OPEN_FILE
mute command number 760,MUTE
open application number 1026,OPEN_APP
open file number 787,OPEN_FILE
mute command number 1012,MUTE
general conversation number 1030,GENERAL_CONVERSATION
general conversation number 1275,GENERAL_CONVERSATION
open file number 503,OPEN_FILE
mute command number 1162,MUTE
open file number 1152,OPEN_FILE
mute command number 1225,MUTE
mute command number 700,MUTE
search query number 354,WEB_SEARCH
get time request number 1392,GET_TIME
mute command number 239,MUTE
get time request number 1355,GET_TIME
open file number 1388,OPEN_FILE
search query number 1315,WEB_SEARCH
general conversation number 1381,GENERAL_CONVERSATION
search query number 1424,WEB_SEARCH
get time request number 1074,GET_TIME
open file number 477,OPEN_FILE
get time request number 1028,GET_TIME
general conversation number 869,GENERAL_CONVERSATION
open application number 1283,OPEN_APP
mute command number 692,MUTE
mute command number 518,MUTE
mute command number 1089,MUTE
general conversation number 36,GENERAL_CONVERSATION
search query number 427,WEB_SEARCH
open application number 409,OPEN_APP
get time request number 1041,GET_TIME
unmute command number 531,UNMUTE
mute command number 534,MUTE
get time request number 228,GET_TIME
general conversation number 575,GENERAL_CONVERSATION
search query number 507,WEB_SEARCH
mute command number 1068,MUTE
open file number 1025,OPEN_FILE
get time request number 1214,GET_TIME
get time request number 315,GET_TIME
general conversation number 707,GENERAL_CONVERSATION
mute command number 877,MUTE
search query number 942,WEB_SEARCH
general conversation number 205,GENERAL_CONVERSATION
get time request number 367,GET_TIME
get time request number 1354,GET_TIME
open application number 182,OPEN_APP
get time request number 1405,GET_TIME
search query number 817,WEB_SEARCH
search query number 699,WEB_SEARCH
open file number 769,OPEN_FILE
search query number 883,WEB_SEARCH
unmute command number 1111,UNMUTE
search query number 1174,WEB_SEARCH
search query number 49,WEB_SEARCH
mute command number 1308,MUTE
general conversation number 1116,GENERAL_CONVERSATION
get time request number 525,GET_TIME
get time request number 491,GET_TIME
open application number 1111,OPEN_APP
open file number 1252,OPEN_FILE
get time request number 1339,GET_TIME
get time request number 37,GET_TIME
search query number 1273,WEB_SEARCH
open file number 282,OPEN_FILE
open application number 385,OPEN_APP
general conversation number 519,GENERAL_CONVERSATION
search query number 859,WEB_SEARCH
open application number 1391,OPEN_APP
general conversation number 709,GENERAL_CONVERSATION
general conversation number 479,GENERAL_CONVERSATION
general conversation number 122,GENERAL_CONVERSATION
unmute command number 471,UNMUTE
search query number 392,WEB_SEARCH
unmute command number 171,UNMUTE
open file number 532,OPEN_FILE
open file number 313,OPEN_FILE
open application number 1089,OPEN_APP
open file number 1067,OPEN_FILE
unmute command number 239,UNMUTE
search query number 367,WEB_SEARCH
unmute command number 1415,UNMUTE
search query number 1403,WEB_SEARCH
search query number 1222,WEB_SEARCH
search query number 1128,WEB_SEARCH
get time request number 564,GET_TIME
general conversation number 1198,GENERAL_CONVERSATION
general conversation number 1375,GENERAL_CONVERSATION
mute command number 981,MUTE
unmute command number 428,UNMUTE
unmute command number 421,UNMUTE
search query number 1103,WEB_SEARCH
unmute command number 423,UNMUTE
open file number 1282,OPEN_FILE
get time request number 753,GET_TIME
get time request number 591,GET_TIME
get time request number 969,GET_TIME
open file number 281,OPEN_FILE
unmute command number 98,UNMUTE
unmute command number 589,UNMUTE
open file number 246,OPEN_FILE
open file number 60,OPEN_FILE
get time request number 17,GET_TIME
mute command number 8,MUTE
unmute command number 130,UNMUTE
get time request number 657,GET_TIME
open application number 558,OPEN_APP
get time request number 1269,GET_TIME
general conversation number 556,GENERAL_CONVERSATION
open application number 1054,OPEN_APP
search query number 670,WEB_SEARCH
mute command number 463,MUTE
general conversation number 1228,GENERAL_CONVERSATION
general conversation number 907,GENERAL_CONVERSATION
unmute command number 688,UNMUTE
mute command number 1354,MUTE
general conversation number 13,GENERAL_CONVERSATION
get time request number 1298,GET_TIME
get time request number 642,GET_TIME
mute command number 122,MUTE
unmute command number 1101,UNMUTE
open file number 132,OPEN_FILE
open file number 362,OPEN_FILE
general conversation number 266,GENERAL_CONVERSATION
open file number 191,OPEN_FILE
search query number 1013,WEB_SEARCH
unmute command number 1146,UNMUTE
search query number 1293,WEB_SEARCH
open file number 1401,OPEN_FILE
mute command number 532,MUTE
get time request number 1070,GET_TIME
open file number 563,OPEN_FILE
search query number 296,WEB_SEARCH
unmute command number 68,UNMUTE
open application number 1053,OPEN_APP
unmute command number 440,UNMUTE
open file number 340,OPEN_FILE
general conversation number 879,GENERAL_CONVERSATION
open file number 1163,OPEN_FILE
search query number 1216,WEB_SEARCH
open file number 256,OPEN_FILE
mute command number 1403,MUTE
search query number 619,WEB_SEARCH
open application number 1191,OPEN_APP
search query number 970,WEB_SEARCH
search query number 328,WEB_SEARCH
open file number 1151,OPEN_FILE
search query number 1097,WEB_SEARCH
open file number 1069,OPEN_FILE
search query number 103,WEB_SEARCH
general conversation number 1422,GENERAL_CONVERSATION
mute command number 282,MUTE
mute command number 492,MUTE
get time request number 1336,GET_TIME
open file number 922,OPEN_FILE
unmute command number 642,UNMUTE
unmute command number 662,UNMUTE
get time request number 507,GET_TIME
open file number 671,OPEN_FILE
unmute command number 398,UNMUTE
unmute command number 947,UNMUTE
general conversation number 723,GENERAL_CONVERSATION
mute command number 926,MUTE
open application number 592,OPEN_APP
search query number 120,WEB_SEARCH
mute command number 454,MUTE
unmute command number 248,UNMUTE
general conversation number 1378,GENERAL_CONVERSATION
search query number 876,WEB_SEARCH
get time request number 1280,GET_TIME
get time request number 592,GET_TIME
open application number 300,OPEN_APP
open file number 817,OPEN_FILE
search query number 978,WEB_SEARCH
get time request number 1382,GET_TIME
search query number 525,WEB_SEARCH
mute command number 978,MUTE
get time request number 386,GET_TIME
general conversation number 652,GENERAL_CONVERSATION
open file number 106,OPEN_FILE
get time request number 178,GET_TIME
mute command number 970,MUTE
general conversation number 84,GENERAL_CONVERSATION
open file number 176,OPEN_FILE
general conversation number 973,GENERAL_CONVERSATION
open file number 1189,OPEN_FILE
general conversation number 273,GENERAL_CONVERSATION
open application number 304,OPEN_APP
search query number 1217,WEB_SEARCH
search query number 998,WEB_SEARCH
get time request number 779,GET_TIME
get time request number 41,GET_TIME
open application number 287,OPEN_APP
unmute command number 583,UNMUTE
open file number 938,OPEN_FILE
unmute command number 407,UNMUTE
unmute command number 855,UNMUTE
get time request number 1265,GET_TIME
open file number 1167,OPEN_FILE
get time request number 65,GET_TIME
mute command number 267,MUTE
search query number 275,WEB_SEARCH
open file number 980,OPEN_FILE
general conversation number 1004,GENERAL_CONVERSATION
open file number 713,OPEN_FILE
unmute command number 1391,UNMUTE
search query number 1196,WEB_SEARCH
open file number 474,OPEN_FILE
search query number 1175,WEB_SEARCH
general conversation number 303,GENERAL_CONVERSATION
open file number 1235,OPEN_FILE
unmute command number 1413,UNMUTE
general conversation number 1389,GENERAL_CONVERSATION
open file number 1209,OPEN_FILE
open file number 481,OPEN_FILE
open file number 1412,OPEN_FILE
general conversation number 144,GENERAL_CONVERSATION
get time request number 115,GET_TIME
open application number 977,OPEN_APP
get time request number 927,GET_TIME
open file number 1021,OPEN_FILE
mute command number 713,MUTE
open application number 1025,OPEN_APP
search query number 424,WEB_SEARCH
mute command number 187,MUTE
mute command number 22,MUTE
unmute command number 825,UNMUTE
search query number 1180,WEB_SEARCH
get time request number 1006,GET_TIME
open file number 1107,OPEN_FILE
general conversation number 484,GENERAL_CONVERSATION
mute command number 227,MUTE
open application number 1210,OPEN_APP
open application number 759,OPEN_APP
get time request number 1396,GET_TIME
open file number 1297,OPEN_FILE
get time request number 156,GET_TIME
search query number 1357,WEB_SEARCH
unmute command number 936,UNMUTE
open file number 339,OPEN_FILE
unmute command number 389,UNMUTE
mute command number 986,MUTE
open file number 837,OPEN_FILE
search query number 984,WEB_SEARCH
unmute command number 281,UNMUTE
search query number 509,WEB_SEARCH
open application number 230,OPEN_APP
search query number 702,WEB_SEARCH
general conversation number 811,GENERAL_CONVERSATION
search query number 589,WEB_SEARCH
mute command number 857,MUTE
unmute command number 631,UNMUTE
get time request number 1207,GET_TIME
unmute command number 219,UNMUTE
mute command number 1024,MUTE
search query number 713,WEB_SEARCH
open application number 1029,OPEN_APP
unmute command number 241,UNMUTE
mute command number 390,MUTE
open file number 1265,OPEN_FILE
mute command number 742,MUTE
search query number 1186,WEB_SEARCH
open application number 718,OPEN_APP
open application number 903,OPEN_APP
general conversation number 430,GENERAL_CONVERSATION
get time request number 368,GET_TIME
open application number 517,OPEN_APP
mute command number 1018,MUTE
general conversation number 1185,GENERAL_CONVERSATION
search query number 491,WEB_SEARCH
unmute command number 861,UNMUTE
unmute command number 990,UNMUTE
open application number 540,OPEN_APP
unmute command number 743,UNMUTE
search query number 1374,WEB_SEARCH
mute command number 616,MUTE
unmute command number 1235,UNMUTE
general conversation number 601,GENERAL_CONVERSATION
general conversation number 840,GENERAL_CONVERSATION
open file number 464,OPEN_FILE
mute command number 1407,MUTE
search query number 901,WEB_SEARCH
open application number 662,OPEN_APP
open application number 419,OPEN_APP
get time request number 1088,GET_TIME
open file number 315,OPEN_FILE
open application number 857,OPEN_APP
search query number 602,WEB_SEARCH
general conversation number 561,GENERAL_CONVERSATION
general conversation number 511,GENERAL_CONVERSATION
open application number 1086,OPEN_APP
open application number 1124,OPEN_APP
unmute command number 330,UNMUTE
search query number 1036,WEB_SEARCH
search query number 1391,WEB_SEARCH
mute command number 1358,MUTE
search query number 443,WEB_SEARCH
general conversation number 248,GENERAL_CONVERSATION
open application number 595,OPEN_APP
open application number 1341,OPEN_APP
search query number 143,WEB_SEARCH
unmute command number 292,UNMUTE
unmute command number 1215,UNMUTE
general conversation number 191,GENERAL_CONVERSATION
open application number 698,OPEN_APP
get time request number 1093,GET_TIME
unmute command number 132,UNMUTE
mute command number 1269,MUTE
mute command number 77,MUTE
open application number 140,OPEN_APP
get time request number 303,GET_TIME
open file number 1187,OPEN_FILE
search query number 1245,WEB_SEARCH
mute command number 1130,MUTE
mute command number 530,MUTE
mute command number 143,MUTE
unmute command number 246,UNMUTE
unmute command number 1189,UNMUTE
open file number 1246,OPEN_FILE
get time request number 821,GET_TIME
open application number 688,OPEN_APP
open file number 462,OPEN_FILE
open file number 1329,OPEN_FILE
unmute command number 403,UNMUTE
search query number 263,WEB_SEARCH
general conversation number 1414,GENERAL_CONVERSATION
mute command number 1265,MUTE
open file number 722,OPEN_FILE
search query number 140,WEB_SEARCH
get time request number 1100,GET_TIME
unmute command number 1332,UNMUTE
open application number 661,OPEN_APP
get time request number 246,GET_TIME
open file number 785,OPEN_FILE
mute command number 275,MUTE
general conversation number 1256,GENERAL_CONVERSATION
open application number 25,OPEN_APP
mute command number 931,MUTE
mute command number 759,MUTE
open file number 879,OPEN_FILE
search query number 627,WEB_SEARCH
mute command number 768,MUTE
general conversation number 536,GENERAL_CONVERSATION
general conversation number 240,GENERAL_CONVERSATION
search query number 1304,WEB_SEARCH
search query number 219,WEB_SEARCH
get time request number 468,GET_TIME
general conversation number 1031,GENERAL_CONVERSATION
open file number 674,OPEN_FILE
get time request number 488,GET_TIME
unmute command number 1241,UNMUTE
open application number 306,OPEN_APP
get time request number 1155,GET_TIME
get time request number 356,GET_TIME
get time request number 192,GET_TIME
unmute command number 1247,UNMUTE
search query number 1082,WEB_SEARCH
get time request number 648,GET_TIME
open application number 1395,OPEN_APP
get time request number 689,GET_TIME
open application number 1410,OPEN_APP
open application number 1415,OPEN_APP
unmute command number 217,UNMUTE
general conversation number 1246,GENERAL_CONVERSATION
unmute command number 193,UNMUTE
open application number 635,OPEN_APP
general conversation number 1174,GENERAL_CONVERSATION
get time request number 417,GET_TIME
mute command number 14,MUTE
open application number 1349,OPEN_APP
mute command number 1014,MUTE
unmute command number 782,UNMUTE
general conversation number 466,GENERAL_CONVERSATION
search query number 1370,WEB_SEARCH
open application number 273,OPEN_APP
mute command number 192,MUTE
general conversation number 170,GENERAL_CONVERSATION
unmute command number 515,UNMUTE
open file number 638,OPEN_FILE
open application number 502,OPEN_APP
unmute command number 346,UNMUTE
open application number 1416,OPEN_APP
open file number 924,OPEN_FILE
get time request number 1317,GET_TIME
open file number 529,OPEN_FILE
mute command number 80,MUTE
open application number 1363,OPEN_APP
unmute command number 507,UNMUTE
open file number 1000,OPEN_FILE
general conversation number 117,GENERAL_CONVERSATION
unmute command number 1274,UNMUTE
mute command number 1390,MUTE
unmute command number 595,UNMUTE
mute command number 50,MUTE
unmute command number 646,UNMUTE
get time request number 474,GET_TIME
mute command number 174,MUTE
general conversation number 981,GENERAL_CONVERSATION
get time request number 1334,GET_TIME
get time request number 1003,GET_TIME
get time request number 891,GET_TIME
unmute command number 686,UNMUTE
get time request number 359,GET_TIME
general conversation number 427,GENERAL_CONVERSATION
open application number 1018,OPEN_APP
open application number 792,OPEN_APP
get time request number 526,GET_TIME
mute command number 1192,MUTE
mute command number 372,MUTE
search query number 395,WEB_SEARCH
open file number 206,OPEN_FILE
unmute command number 1369,UNMUTE
mute command number 753,MUTE
mute command number 204,MUTE
mute command number 600,MUTE
general conversation number 161,GENERAL_CONVERSATION
search query number 278,WEB_SEARCH
open application number 663,OPEN_APP
get time request number 923,GET_TIME
mute command number 844,MUTE
open file number 1146,OPEN_FILE
open application number 1347,OPEN_APP
mute command number 1188,MUTE
mute command number 789,MUTE
open application number 1214,OPEN_APP
unmute command number 481,UNMUTE
general conversation number 788,GENERAL_CONVERSATION
unmute command number 170,UNMUTE
mute command number 1353,MUTE
get time request number 616,GET_TIME
mute command number 296,MUTE
general conversation number 182,GENERAL_CONVERSATION
open file number 606,OPEN_FILE
general conversation number 1058,GENERAL_CONVERSATION
unmute command number 1044,UNMUTE
general conversation number 736,GENERAL_CONVERSATION
open application number 436,OPEN_APP
general conversation number 290,GENERAL_CONVERSATION
open file number 702,OPEN_FILE
mute command number 284,MUTE
get time request number 981,GET_TIME
unmute command number 64,UNMUTE
mute command number 939,MUTE
unmute command number 625,UNMUTE
open application number 520,OPEN_APP
open application number 343,OPEN_APP
unmute command number 354,UNMUTE
open application number 854,OPEN_APP
get time request number 1183,GET_TIME
unmute command number 796,UNMUTE
open application number 800,OPEN_APP
get time request number 281,GET_TIME
general conversation number 1239,GENERAL_CONVERSATION
search query number 1140,WEB_SEARCH
unmute command number 498,UNMUTE
get time request number 1045,GET_TIME
open file number 483,OPEN_FILE
mute command number 1081,MUTE
open file number 1155,OPEN_FILE
get time request number 1407,GET_TIME
general conversation number 646,GENERAL_CONVERSATION
unmute command number 1160,UNMUTE
open application number 86,OPEN_APP
general conversation number 1108,GENERAL_CONVERSATION
mute command number 817,MUTE
general conversation number 355,GENERAL_CONVERSATION
unmute command number 395,UNMUTE
general conversation number 1052,GENERAL_CONVERSATION
search query number 845,WEB_SEARCH
open application number 1168,OPEN_APP
open file number 430,OPEN_FILE
mute command number 575,MUTE
get time request number 220,GET_TIME
search query number 825,WEB_SEARCH
mute command number 405,MUTE
open file number 426,OPEN_FILE
search query number 133,WEB_SEARCH
open application number 252,OPEN_APP
get time request number 337,GET_TIME
search query number 487,WEB_SEARCH
open application number 1413,OPEN_APP
search query number 991,WEB_SEARCH
search query number 106,WEB_SEARCH
get time request number 506,GET_TIME
general conversation number 1423,GENERAL_CONVERSATION
open application number 921,OPEN_APP
unmute command number 210,UNMUTE
unmute command number 556,UNMUTE
get time request number 480,GET_TIME
mute command number 448,MUTE
search query number 1006,WEB_SEARCH
open application number 1331,OPEN_APP
unmute command number 653,UNMUTE
general conversation number 688,GENERAL_CONVERSATION
general conversation number 1226,GENERAL_CONVERSATION
open file number 75,OPEN_FILE
mute command number 169,MUTE
open application number 515,OPEN_APP
mute command number 899,MUTE
search query number 1051,WEB_SEARCH
mute command number 1174,MUTE
open application number 1107,OPEN_APP
get time request number 951,GET_TIME
open file number 478,OPEN_FILE
get time request number 360,GET_TIME
general conversation number 1094,GENERAL_CONVERSATION
mute command number 796,MUTE
open application number 1002,OPEN_APP
get time request number 1166,GET_TIME
search query number 197,WEB_SEARCH
unmute command number 1399,UNMUTE
general conversation number 311,GENERAL_CONVERSATION
mute command number 650,MUTE
search query number 843,WEB_SEARCH
general conversation number 540,GENERAL_CONVERSATION
search query number 933,WEB_SEARCH
mute command number 460,MUTE
general conversation number 322,GENERAL_CONVERSATION
unmute command number 319,UNMUTE
open file number 858,OPEN_FILE
get time request number 804,GET_TIME
open application number 105,OPEN_APP
mute command number 1030,MUTE
open file number 902,OPEN_FILE
open application number 865,OPEN_APP
get time request number 1261,GET_TIME
open application number 1043,OPEN_APP
open application number 557,OPEN_APP
search query number 299,WEB_SEARCH
get time request number 578,GET_TIME
search query number 805,WEB_SEARCH
mute command number 561,MUTE
get time request number 219,GET_TIME
open file number 1131,OPEN_FILE
general conversation number 1333,GENERAL_CONVERSATION
search query number 797,WEB_SEARCH
mute command number 141,MUTE
mute command number 471,MUTE
open file number 609,OPEN_FILE
open file number 14,OPEN_FILE
mute command number 1127,MUTE
unmute command number 717,UNMUTE
mute command number 486,MUTE
get time request number 296,GET_TIME
open file number 651,OPEN_FILE
general conversation number 380,GENERAL_CONVERSATION
general conversation number 620,GENERAL_CONVERSATION
open file number 489,OPEN_FILE
search query number 761,WEB_SEARCH
general conversation number 912,GENERAL_CONVERSATION
mute command number 357,MUTE
mute command number 550,MUTE
open application number 584,OPEN_APP
open application number 690,OPEN_APP
general conversation number 530,GENERAL_CONVERSATION
open application number 1238,OPEN_APP
general conversation number 220,GENERAL_CONVERSATION
search query number 1188,WEB_SEARCH
unmute command number 943,UNMUTE
mute command number 1168,MUTE
unmute command number 836,UNMUTE
open application number 763,OPEN_APP
open application number 1333,OPEN_APP
search query number 1127,WEB_SEARCH
general conversation number 732,GENERAL_CONVERSATION
general conversation number 482,GENERAL_CONVERSATION
general conversation number 956,GENERAL_CONVERSATION
mute command number 229,MUTE
unmute command number 472,UNMUTE
open application number 1422,OPEN_APP
unmute command number 284,UNMUTE
unmute command number 1357,UNMUTE
general conversation number 357,GENERAL_CONVERSATION
general conversation number 1197,GENERAL_CONVERSATION
unmute command number 728,UNMUTE
open application number 1181,OPEN_APP
get time request number 473,GET_TIME
search query number 1044,WEB_SEARCH
search query number 910,WEB_SEARCH
open file number 572,OPEN_FILE
general conversation number 1186,GENERAL_CONVERSATION
mute command number 1098,MUTE
open application number 552,OPEN_APP
open application number 890,OPEN_APP
mute command number 277,MUTE
search query number 793,WEB_SEARCH
open file number 1395,OPEN_FILE
search query number 536,WEB_SEARCH
search query number 927,WEB_SEARCH
general conversation number 933,GENERAL_CONVERSATION
open application number 779,OPEN_APP
mute command number 148,MUTE
unmute command number 400,UNMUTE
mute command number 866,MUTE
open file number 1091,OPEN_FILE
open application number 642,OPEN_APP
get time request number 803,GET_TIME
get time request number 921,GET_TIME
open file number 1301,OPEN_FILE
mute command number 956,MUTE
unmute command number 694,UNMUTE
open application number 1322,OPEN_APP
get time request number 922,GET_TIME
mute command number 1153,MUTE
search query number 1104,WEB_SEARCH
get time request number 118,GET_TIME
mute command number 591,MUTE
mute command number 1337,MUTE
general conversation number 373,GENERAL_CONVERSATION
unmute command number 1183,UNMUTE
general conversation number 552,GENERAL_CONVERSATION
general conversation number 1360,GENERAL_CONVERSATION
open file number 1237,OPEN_FILE
search query number 644,WEB_SEARCH
get time request number 441,GET_TIME
get time request number 1186,GET_TIME
general conversation number 1402,GENERAL_CONVERSATION
general conversation number 760,GENERAL_CONVERSATION
mute command number 819,MUTE
get time request number 672,GET_TIME
unmute command number 854,UNMUTE
mute command number 1400,MUTE
unmute command number 503,UNMUTE
search query number 1017,WEB_SEARCH
general conversation number 239,GENERAL_CONVERSATION
open application number 542,OPEN_APP
general conversation number 216,GENERAL_CONVERSATION
mute command number 1114,MUTE
open file number 16,OPEN_FILE
mute command number 132,MUTE
mute command number 318,MUTE
general conversation number 217,GENERAL_CONVERSATION
unmute command number 1323,UNMUTE
open file number 465,OPEN_FILE
search query number 365,WEB_SEARCH
get time request number 745,GET_TIME
general conversation number 1089,GENERAL_CONVERSATION
open application number 624,OPEN_APP
unmute command number 969,UNMUTE
open application number 102,OPEN_APP
mute command number 87,MUTE
general conversation number 94,GENERAL_CONVERSATION
open application number 952,OPEN_APP
mute command number 1009,MUTE
open application number 808,OPEN_APP
get time request number 128,GET_TIME
mute command number 1228,MUTE
general conversation number 141,GENERAL_CONVERSATION
general conversation number 102,GENERAL_CONVERSATION
unmute command number 1382,UNMUTE
mute command number 1123,MUTE
unmute command number 1320,UNMUTE
general conversation number 89,GENERAL_CONVERSATION
general conversation number 471,GENERAL_CONVERSATION
get time request number 78,GET_TIME
unmute command number 894,UNMUTE
mute command number 723,MUTE
open application number 162,OPEN_APP
